district,longitude,latitude
Abim,33.75308627077805,2.70298683439611
Adjumani,31.769653805527792,3.223490863715623
Agago,33.346058093884075,2.910127498263039
Alebtong,33.255708152509484,2.266683583132133
Amolatar,32.73588258349699,1.619869442143394
Amudat,34.87632875438791,1.802769507645736
Amuria,33.63802027944572,2.00791243870861
Amuru,31.97460856884205,3.051434447342441
Apac,32.4294036717868,1.87061740464991
Arua,31.052664855116124,3.040948369763389
Budaka,33.98856587315991,1.059667844809981
Bududa,34.40786298204967,1.03198373183828
Bugiri,33.7744534190701,0.531284509612284
Bugweri,33.6055820864024,0.626749864330596
Buhweju,30.35017700581237,-0.328909331572959
Buikwe,33.040399036293245,0.305759286274394
Bukedea,34.124310064197104,1.362279392557603
Bukomansimbi,31.628256298487926,-0.129708362868247
Bukwo,34.68632400772698,1.278515866318471
Bulambuli,34.359709881370456,1.364461691113844
Buliisa,31.391653159022137,1.959891437357625
Bundibugyo,30.05622742733673,0.695553772725875
Bunyangabu,30.17252680675639,0.494828342787956
Bushenyi,30.151847903490108,-0.483757934648571
Busia,34.00534567989175,0.411841831854164
Butaleja,33.93405828627304,0.883571599191315
Butambala,32.07471105530131,0.15368797290927
Butebo,33.98428947176413,1.182228242859235
Buvuma,33.20887964393893,-0.391682839234076
Buyende,33.14686875277477,1.260502277443612
Dokolo,33.07589722886792,1.937342046177769
Gomba,31.70265321701388,0.195672504903236
Gulu,32.39509635813165,2.97482746089408
Hoima,31.213884891614075,1.581839824136047
Ibanda,30.48952853906311,-0.079168625440608
Iganga,33.47893343078523,0.727231244546908
Isingiro,30.87765213337106,-0.853238961405935
Jinja,33.212716400528954,0.565490194018615
Kaabong,34.15562952440217,3.543350045688664
Kabale,30.017678801432936,-1.330880614651769
Kabarole,30.33457825546344,0.635942758427056
Kaberamaido,33.1285139546064,1.694386137111454
Kagadi,30.81055032680338,1.014703126247607
Kakumiro,31.298442454486935,0.984640543999278
Kalaki,33.33627828122657,1.835000167666331
Kalangala,32.44178144641209,-0.578506531260541
Kaliro,33.48334760790202,1.067591366531911
Kalungu,31.802663310999996,-0.102091034460481
Kampala,32.59696038780139,0.315722449098182
Kamuli,33.10749042344866,0.937092467853909
Kamwenge,30.558415238764365,0.315742102972197
Kanungu,29.725847923670656,-0.810181399878901
Kapchorwa,34.43003520780395,1.344533185688011
Kapelebyong,33.74387873533798,2.21339052434153
Karenga,33.78819854628322,3.728054015484489
Kasese,30.00187557220796,0.11765548821392
Kassanda,31.754802975528424,0.538224178997161
Katakwi,34.03813142047053,1.922236862668479
Kayunga,32.89254432379516,0.981911931593711
Kazo,30.79238325174231,0.041518727654631
Kibaale,31.067351060344468,0.802205386760932
Kiboga,31.956647728469907,0.840237389481626
Kibuku,33.801121780771844,1.05344265403886
Kikuube,30.95021315985574,1.308017856881641
Kiruhura,30.914884548577124,-0.349679190802465
Kiryandongo,32.04084504223115,2.022927923922268
Kisoro,29.68018507326064,-1.217245906876623
Kitagwenda,30.34111041019825,0.012223202575707
Kitgum,33.25808447191341,3.398009456593454
Koboko,31.007976255863607,3.525584924719197
Kole,32.76626706784707,2.291529223305181
Kotido,33.98810450467941,3.024093415181268
Kumi,33.96144135964444,1.473564039432781
Kwania,32.734148351260195,1.916775933585966
Kween,34.569524460659586,1.436639753379299
Kyankwanzi,31.641575146797106,1.121404364587716
Kyegegwa,31.002085818934916,0.450671593570677
Kyenjojo,30.662367651598657,0.656269619219903
Kyotera,31.660361972844488,-0.805728453559847
Lamwo,32.723855370875846,3.550607524473358
Lira,32.96344880376133,2.30354763217516
Luuka,33.33849199906682,0.80392938119002
Luwero,32.583253872681446,0.828944304634496
Lwengo,31.425862487862656,-0.413364844029959
Lyantonde,31.18807397486728,-0.223134468669088
Madi Okollo,31.231179466985058,2.853115754396966
Manafwa,34.270927403308534,0.875102192660186
Maracha,30.92691874703782,3.236939395832873
Masaka,31.855583481936872,-0.491257727418753
Masindi,31.712290071029138,1.74384850630766
Mayuge,33.55178298389675,-0.088497257464456
Mbale,34.198417605340225,1.019239462348752
Mbarara,30.606333342474883,-0.493294869656224
Mitooma,30.022543557097208,-0.624298193020185
Mityana,32.0596451634366,0.443251769760578
Moroto,34.63164757817275,2.648687507980798
Moyo,31.765853932932053,3.642806910171049
Mpigi,32.15897100097315,0.067045129057072
Mubende,31.37908260380797,0.504042975360029
Mukono,32.77353746285679,0.27560120659519
Nabilatuk,34.503185309155775,2.023983832809878
Nakapiripirit,34.6079974495995,1.781011358482895
Nakaseke,32.169251206416675,1.048734330900461
Nakasongola,32.42562989414521,1.351935905381366
Namayingo,33.80457399855771,-0.317377037668157
Namisindwa,34.37284407104854,0.876601408762855
Namutumba,33.68173165689157,0.868655112263793
Napak,34.26380143122645,2.392251469630331
Nebbi,31.177416204003695,2.43023102236112
Ngora,33.754444792373015,1.496346925927283
Ntoroko,30.363187336900538,1.010473321629935
Ntungamo,30.272241858570577,-0.942122580323017
Nwoya,31.837444390986104,2.528414863669515
Obongi,31.556842015079337,3.392000134484496
Omoro,32.468169341749515,2.66759494066878
Otuke,33.38255686689292,2.474921781756223
Oyam,32.48437904238275,2.372212602387999
Pader,32.867503396539576,2.929381093294403
Pakwach,31.370240488105935,2.493136913540432
Pallisa,33.6753089857605,1.231452379233256
Rakai,31.303662839999376,-0.707011580152597
Rubanda,29.86602157378415,-1.171061243640101
Rubirizi,29.992399693261135,-0.260218053807196
Rukiga,30.09125977915476,-1.15051716779601
Rukungiri,29.88902132236524,-0.705915739332269
Rwampara,30.493461022412813,-0.74637274178325
Serere,33.372351673212506,1.488110214165298
Sheema,30.326640531887033,-0.603639044782375
Sironko,34.318713082372454,1.171583007992473
Soroti,33.590949267459564,1.771080429439072
Ssembabule,31.33988505218147,-0.026456462623791
Tororo,34.08224566898781,0.72497359861123
Wakiso,32.446032988842475,0.220384227396501
Yumbe,31.28872192776421,3.520533555680686
Zombo,30.89543420721055,2.518740667383453
