District,n_AA,n_AS,n_SS,S,N,pS
Abim,230,46,4,54,560,0.09642857142857143
Adjumani,291,46,1,48,676,0.07100591715976332
Agago,811,165,12,189,1976,0.09564777327935223
Alebtong,260,84,7,98,702,0.1396011396011396
Aleptong,83,16,0,16,198,0.08080808080808081
Amolatar,453,93,4,101,1100,0.09181818181818181
Amudat,78,9,0,9,174,0.05172413793103448
Amuria,547,115,10,135,1344,0.10044642857142858
Amuru,352,63,5,73,840,0.0869047619047619
Apac,813,204,20,244,2074,0.11764705882352941
Arua,938,133,2,137,2146,0.06383970177073625
Budaka,219,47,1,49,534,0.09176029962546817
Bududa,246,16,1,18,526,0.034220532319391636
Bugiri,563,133,8,149,1408,0.10582386363636363
Buhweju,235,6,1,8,484,0.01652892561983471
Buikwe,1455,290,18,326,3526,0.09245604083947816
Bukedea,323,48,0,48,742,0.0646900269541779
Bukomansimbi,583,91,5,101,1358,0.0743740795287187
Bukwo,121,8,0,8,258,0.031007751937984496
Bulambuli,273,22,1,24,592,0.04054054054054054
Buliisa,199,48,5,58,504,0.11507936507936507
Bundibugyo,317,86,6,98,818,0.1198044009779951
Bunyangabu,91,9,0,9,200,0.045
Bushenyi,1255,55,1,57,2622,0.021739130434782608
Busia,497,114,11,136,1244,0.10932475884244373
Butaleja,235,46,6,58,574,0.10104529616724739
Butambala,441,71,5,81,1034,0.07833655705996131
Butebo,79,17,1,19,194,0.0979381443298969
Buvuma,361,63,4,71,856,0.08294392523364486
Buyende,344,64,6,76,828,0.09178743961352658
Dokolo,387,90,5,100,964,0.1037344398340249
Gomba,452,56,6,68,1028,0.06614785992217899
Gulu,2466,616,30,676,6224,0.10861182519280206
Hoima,1431,222,14,250,3334,0.07498500299940011
Ibanda,909,53,2,57,1928,0.029564315352697094
Iganga,813,201,15,231,2058,0.11224489795918367
Isingiro,1184,70,3,76,2514,0.030230708035003977
Jinja,1414,346,30,406,3580,0.11340782122905028
Kaabong,204,10,0,10,428,0.02336448598130841
Kabale,1146,30,0,30,2352,0.012755102040816327
Kabarole,2829,300,6,312,6270,0.049760765550239235
Kaberamaido,516,96,4,104,1232,0.08441558441558442
Kagadi,93,7,0,7,200,0.035
Kakumiro,89,10,1,12,200,0.06
Kalangala,578,82,3,88,1326,0.06636500754147813
Kaliro,307,67,6,79,760,0.10394736842105264
Kalungu,876,140,6,152,2044,0.07436399217221135
Kampala,11634,1837,95,2027,27132,0.07470883090078137
Kamuli,592,153,10,173,1510,0.11456953642384106
Kamwenge,1003,64,1,66,2136,0.03089887640449438
Kanungu,809,32,3,38,1688,0.022511848341232227
Kapchorwa,239,17,1,19,514,0.03696498054474708
Kasese,1177,131,6,143,2628,0.05441400304414003
Katakwi,495,92,2,96,1178,0.08149405772495756
Kayunga,644,137,10,157,1582,0.09924146649810367
Kibaale,1514,177,13,203,3408,0.059565727699530516
Kiboga,699,115,4,123,1636,0.07518337408312958
Kibuku,242,49,6,61,594,0.1026936026936027
Kiruhura,958,55,3,61,2032,0.030019685039370077
Kiryandongo,523,91,1,93,1230,0.07560975609756097
Kisoro,444,16,1,18,922,0.019522776572668113
Kitgum,933,205,8,221,2292,0.09642233856893542
Koboko,279,38,0,38,634,0.05993690851735016
Kole,426,103,8,119,1074,0.11080074487895716
Kotido,171,18,1,20,380,0.05263157894736842
Kumi,393,63,4,71,920,0.07717391304347826
Kween,107,6,0,6,226,0.02654867256637168
Kyankwanzi,275,48,1,50,648,0.07716049382716049
Kyankwazi,94,6,0,6,200,0.03
Kyegegwa,809,81,4,89,1788,0.049776286353467564
Kyenjojo,1674,183,5,193,3724,0.05182599355531686
Kyotera,91,8,0,8,198,0.04040404040404041
Lamwo,522,116,3,122,1282,0.09516380655226209
Lira,1478,369,31,431,3756,0.11474973375931842
Luuka,284,73,2,77,718,0.10724233983286909
Luweero,1299,213,18,249,3060,0.08137254901960785
Luwero,83,15,0,15,196,0.07653061224489796
Lwengo,777,92,3,98,1744,0.05619266055045872
Lyantonde,649,59,1,61,1418,0.04301833568406206
Manafwa,347,43,3,49,786,0.062340966921119595
Maracha,96,4,0,4,200,0.02
Maracha-Terego,86,7,0,7,186,0.03763440860215054
Masaka,2075,309,14,337,4796,0.07026688907422853
Masindi,758,134,11,156,1806,0.08637873754152824
Mayuge,712,169,14,197,1790,0.1100558659217877
Mbale,958,149,10,169,2234,0.0756490599820949
Mbarara,2940,169,3,175,6224,0.028116966580976864
Mitooma,487,10,0,10,994,0.01006036217303823
Mityana,1149,168,9,186,2652,0.07013574660633484
Moroto,127,20,2,24,298,0.08053691275167785
Moyo,236,25,0,25,522,0.04789272030651341
Mpigi,1009,130,4,138,2286,0.06036745406824147
Mubende,1896,226,10,246,4264,0.057692307692307696
Mukono,1441,218,9,236,3336,0.07074340527577938
Nakapiripi riti,97,3,0,3,200,0.015
Nakapiripirit,60,4,0,4,128,0.03125
Nakaseke,552,90,4,98,1292,0.07585139318885449
Nakasongola,495,98,12,122,1210,0.10082644628099173
Namayingo,657,171,10,191,1676,0.11396181384248211
Namisindwa,80,19,1,21,200,0.105
Namutumba,321,85,3,91,818,0.11124694376528117
Napak,183,19,0,19,404,0.04702970297029703
Nebbi,739,159,12,183,1820,0.10054945054945055
Ngora,244,62,3,68,618,0.11003236245954692
Ntoroko,274,38,0,38,624,0.060897435897435896
Ntungamo,1355,57,1,59,2826,0.020877565463552725
Nwoya,493,131,8,147,1264,0.11629746835443038
Omoro,75,24,1,26,200,0.13
Otuke,420,101,10,121,1062,0.11393596986817325
Oyam,858,211,13,237,2164,0.10951940850277264
Pader,623,135,9,153,1534,0.09973924380704041
Pakwach,82,16,0,16,196,0.08163265306122448
Pallisa,344,67,1,69,824,0.08373786407766991
Rakai,1951,364,8,380,4646,0.08179078777442962
Rubanda,99,1,0,1,200,0.005
Rubirizi,419,35,5,45,918,0.049019607843137254
Rukiga,87,13,0,13,200,0.065
Rukungiri,1242,49,0,49,2582,0.018977536793183578
Sembabule,89,11,0,11,200,0.055
Serere,447,93,11,115,1102,0.10435571687840291
Sheema,956,45,1,47,2004,0.023453093812375248
Sironko,312,32,6,44,700,0.06285714285714286
Soroti,812,158,13,184,1966,0.0935910478128179
Ssembabule,546,54,1,56,1202,0.04658901830282862
Tororo,1138,279,21,321,2876,0.11161335187760779
Wakiso,3843,551,19,589,8826,0.06673464763199638
Yumbe,280,32,0,32,624,0.05128205128205128
Zombo,360,48,1,50,818,0.061124694376528114
